LATENT_DIM,MSE,PMS,AD,AVC,TD,Duration
1,0.04847311549782753,63.81,0.1200742,0.32789248,1896.6589,104.54211354255676
2,0.03733183876872063,48.980000000000004,0.61067694,0.98819035,792.5971,104.4276282787323
4,0.025848209527134895,23.200000000000003,1.0175353,1.0884554,291.2818,104.14753484725952
8,0.014108865012228489,16.99,2.387447,2.4173806,332.91116,105.98763084411621
10,0.011159167452156544,16.81,2.5561714,2.5828972,291.9767,105.38594269752502
12,0.00886076597943902,19.23,2.337318,2.3777401,241.0477,106.07632112503052
16,0.006835861729830504,34.55,2.5800695,2.4759974,224.93442,106.33112359046936
24,0.004821428539603948,36.21,3.664932,3.541996,227.26372,644.3663523197174
32,0.004381880425661802,38.04,4.186194,4.145793,211.39186,877.0514709949493
48,0.0028301721297204494,40.43,4.206156,4.160863,163.08115,678.9132313728333
64,0.0028393043424934147,40.489999999999995,4.099355,4.0399723,147.31119,877.5894718170166
